file	violations	top_rules
docs/scoreboards/phase8/SUMMARY.md	1	internal_phase_refs
docs/status/phase7r_daily.md	1	internal_phase_refs
docs/templates/agt-template.md	1	multi_agent_exposure
docs/templates/arc-template.md	1	multi_agent_exposure
docs/windows_native_path.md	1	internal_phase_refs
handoffs/phase7t/architect_handoff_phase7t.md	1	internal_phase_refs
handoffs/phase7t/implementation_handoff_7s_to_7t.md	1	internal_phase_refs
infra/podman/podman-compose.yml	1	secrets_like
install/python_cuda.sh	1	internal_phase_refs
models/cache/biobert-base-cased-v1.1/vocab.txt	1	multi_agent_exposure
open-darf-wc/README.md	1	internal_phase_refs
open-darf-wc/scripts/run.ps1	1	secrets_like
open-darf-wc/scripts/run.sh	1	secrets_like
ops/bin/mc.sh	1	secrets_like
resume_session.sh	1	internal_phase_refs
scripts/phase7f/revocation_commit.py	1	internal_phase_refs
scripts/phase7f/synthesis_orchestrator.py	1	internal_phase_refs
scripts/phase7i/aggregate_scoreboard.py	1	internal_phase_refs
scripts/phase7i/compare_against_baselines.py	1	internal_phase_refs
scripts/phase7i/doctor.sh	1	internal_phase_refs
scripts/phase7i/eval/README.txt	1	internal_phase_refs
scripts/phase7i/run_bench.sh	1	internal_phase_refs
scripts/phase7i/runner_cmds.env	1	internal_phase_refs
scripts/phase7o/run_bench_gates.sh	1	internal_phase_refs
scripts/phase7o/run_scierc_full.sh	1	internal_phase_refs
scripts/phase7s/acceptance_status.sh	1	internal_phase_refs
scripts/phase7s/aggregate_evidence.py	1	internal_phase_refs
scripts/phase7s/build_review_packet.sh	1	internal_phase_refs
scripts/phase7s/extract_timing_from_tarballs.py	1	internal_phase_refs
scripts/phase7s/finalize.sh	1	internal_phase_refs
scripts/phase7s/package_evidence.sh	1	internal_phase_refs
scripts/phase7s/publish_phase7s.sh	1	internal_phase_refs
scripts/phase7t/hash_and_manifest.py	1	internal_phase_refs
scripts/seed_neo4j.py	1	secrets_like
tests/performance/test_ingest_perf_demo.py	1	internal_phase_refs
tests/unit/test_minio_cas.py	1	secrets_like
tmp/cas_demo_out.txt	1	internal_phase_refs
tools/audit/schemas/phase7f_audit.json	1	internal_phase_refs
tools/batch_create_remaining.sh	1	personal_identifiers
tools/constitutional/make_blocked_gallery.py	1	internal_phase_refs
tools/constitutional/reasoning/__init__.py	1	internal_phase_refs
tools/constitutional/reasoning/make_evidence_pack_v7e.py	1	internal_phase_refs
tools/constitutional/write_receipt.py	1	internal_phase_refs
tools/gpu_diag.sh	1	internal_phase_refs
tools/perf/measure_reasoning_overhead.py	1	internal_phase_refs
tools/phase5_issue_plan.sh	1	personal_identifiers
tools/roadmap_upsert_v3.sh	1	multi_agent_exposure
tools/text2nkg/adapter.py	1	todo_fixme
tools/text2nkg/adapter.py.bak.20250903-153510	1	todo_fixme
tools/text2nkg/adapter.py.bak.canon.20250903-163448	1	todo_fixme
tools/text2nkg/adapter.py.bak.delegate.20250903-154859	1	todo_fixme
tools/text2nkg/adapter.py.bak.dictspans.20250903-175301	1	todo_fixme
tools/text2nkg/adapter.py.bak.factory.20250903-171634	1	todo_fixme
tools/text2nkg/adapter.py.bak.factory.20250903-171834	1	todo_fixme
tools/text2nkg/adapter.py.bak.finalwrap.20250903-163101	1	todo_fixme
tools/text2nkg/adapter.py.bak.passthru.20250903-170958	1	todo_fixme
tools/text2nkg/adapter.py.bak.repair.20250903-165819	1	todo_fixme
tools/text2nkg/adapter.py.bak.robust.20250903-155552	1	todo_fixme
tools/text2nkg/adapter.py.bak.robust2.20250903-170056	1	todo_fixme
tools/text2nkg/adapter.py.bak.safedelegate.20250903-155235	1	todo_fixme
tools/text2nkg/adapter.py.bak.spanobj.20250903-174726	1	todo_fixme
tools/text2nkg/adapter.py.bak.superfinal.20250903-163807	1	todo_fixme
tools/text2nkg/adapter.py.bak.wrapfinal.20250903-172426	1	todo_fixme
tools/wsl_gate_explainer.sh	1	internal_phase_refs
docs/reference/DARF Architecture Onboarding & Re.md	3	agent_terms,multi_agent_exposure
docs/reference/DARF v1.2.md	9	triple_backticks_in_docs,multi_agent_exposure
docs/reference/DARF v4.md	3	multi_agent_exposure
docs/reference/System Reference Document.md	5	agent_terms,personal_identifiers,multi_agent_exposure
docs/reference/backend_stack_summary (1).md	4	multi_agent_exposure
